"","year","month","day","avg.max.temp"
"454",1980,3,29,287.61555009779
"455",1980,3,30,287.837276042337
"456",1980,3,31,287.603774057465
"457",1980,4,1,287.512069389148
"458",1980,4,2,287.644665968898
"459",1980,4,3,288.034464082264
"460",1980,4,4,288.732242419344
"461",1980,4,5,289.112459287539
"462",1980,4,6,288.454233495132
"463",1980,4,7,288.579555257161
"464",1980,4,8,288.717601857168
"465",1980,4,9,288.527548983508
"466",1980,4,10,288.79507015354
"467",1980,4,11,289.15106847295
"468",1980,4,12,289.130162489895
"469",1980,4,13,289.17909772824
"470",1980,4,14,289.811170529097
"471",1980,4,15,290.024220074664
"472",1980,4,16,289.870504643367
"473",1980,4,17,290.529760686294
"474",1980,4,18,290.951859755743
"475",1980,4,19,291.793665210319
"476",1980,4,20,292.351387320159
"477",1980,4,21,292.522756214631
"478",1980,4,22,292.685095237201
"479",1980,4,23,291.996884574471
"480",1980,4,24,291.250711473179
"481",1980,4,25,291.230445710905
"482",1980,4,26,291.32781813625
"483",1980,4,27,291.555848218757
"484",1980,4,28,292.344651313754
"485",1980,4,29,292.738075340187
"486",1980,4,30,292.600026968373
"487",1980,5,1,292.848191011869
"488",1980,5,2,293.203177399688
"489",1980,5,3,293.163396104526
"490",1980,5,4,293.096101250841
"491",1980,5,5,293.174082108382
"492",1980,5,6,292.690923658657
"493",1980,5,7,291.699312068953
"494",1980,5,8,291.196552737729
"495",1980,5,9,291.341977850945
"496",1980,5,10,291.967571635823
"497",1980,5,11,292.09186705984
"498",1980,5,12,292.253244443341
"499",1980,5,13,292.102746917389
"500",1980,5,14,292.117656431093
"501",1980,5,15,292.322240461971
"502",1980,5,16,292.982950225942
"503",1980,5,17,293.645953257355
"504",1980,5,18,294.205425913605
"505",1980,5,19,294.401520060445
"506",1980,5,20,294.702432413066
"507",1980,5,21,295.506802776183
"508",1980,5,22,295.452441367125
"509",1980,5,23,294.809853997423
"510",1980,5,24,294.231763058617
"511",1980,5,25,293.943959023053
"512",1980,5,26,293.4740110572
"513",1980,5,27,293.566790849735
"514",1980,5,28,293.910218604231
"515",1980,5,29,294.340567139566
"516",1980,5,30,294.522869465028
"517",1980,5,31,294.396514277755
"518",1980,6,1,294.217238932739
"519",1980,6,2,294.263597906203
"520",1980,6,3,294.660543649974
"521",1980,6,4,294.90423562745
"522",1980,6,5,295.097938722045
"523",1980,6,6,295.272428061237
"524",1980,6,7,295.525517613897
"525",1980,6,8,295.90324764601
"526",1980,6,9,294.93941854959
"527",1980,6,10,294.653603354653
"528",1980,6,11,295.181320218376
"529",1980,6,12,295.86232521141
"530",1980,6,13,296.089330730508
"531",1980,6,14,296.240084665599
"532",1980,6,15,296.223924696926
"533",1980,6,16,296.030965957362
"534",1980,6,17,296.041674050132
"535",1980,6,18,295.817999619704
"536",1980,6,19,296.131812115903
"537",1980,6,20,296.593351840624
"538",1980,6,21,296.95230949318
"539",1980,6,22,297.158947731549
"540",1980,6,23,297.504881940569
"541",1980,6,24,297.569111426497
"542",1980,6,25,297.771899134598
"543",1980,6,26,297.792502272609
"544",1980,6,27,297.527131753439
"545",1980,6,28,297.061192522992
"546",1980,6,29,297.432398221082
"547",1980,6,30,297.815301742833
"548",1980,7,1,297.900698416574
"549",1980,7,2,297.755285689246
"550",1980,7,3,297.891671121339
"551",1980,7,4,297.854341147846
"552",1980,7,5,297.772382810264
"553",1980,7,6,297.956030077812
"554",1980,7,7,298.309300684667
"555",1980,7,8,298.318992475014
"556",1980,7,9,298.558455437182
"557",1980,7,10,298.980954286904
"558",1980,7,11,298.935650405604
"559",1980,7,12,298.710521846114
"560",1980,7,13,298.833420884129
"561",1980,7,14,298.830430670099
